"Topic","Question","Answer","Knowledge Slug","Full Answer URL"
"Amenities","What amenities does Exhibit On Superior offer?","Amenities include a full-floor amenity deck, fitness center, 75-foot lap pool, outdoor hot tub, sauna, lounges, work and meeting rooms, music studio, dog spa, grilling stations, fire pits, and outdoor areas.","full-amenity-list","https://www.rentatexhibit.com/knowledge/full-amenity-list"
"Amenities","Does Exhibit On Superior have a pool?","Yes — a 75-foot lap pool on the amenity floor, plus an outdoor hot tub and sauna.","is-there-a-pool","https://www.rentatexhibit.com/knowledge/is-there-a-pool"
"Amenities","Is there space to work from home?","Yes. Private work and meeting rooms, a tech lounge with charging stations and kitchen, a library nook, and reading alcoves.","work-from-home-spaces","https://www.rentatexhibit.com/knowledge/work-from-home-spaces"
"Amenities","Does Exhibit have on-site retail?","Yes. On-site retail and wellness options include fitness, food, and spa services.","on-site-retail","https://www.rentatexhibit.com/knowledge/on-site-retail"
"Amenities","Is there a 24-hour concierge?","Yes. The front desk is staffed 24 hours a day, and indoor amenities are open 24/7.","front-desk-hours","https://www.rentatexhibit.com/knowledge/front-desk-hours"
"Pets","Is Exhibit On Superior pet-friendly?","Yes. Cats and dogs are welcome, with a maximum of 2 pets per apartment.","how-many-pets","https://www.rentatexhibit.com/knowledge/how-many-pets"
"Pets","Are there pet amenities?","Yes — a doggie spa and lounge inside the building and a gated outdoor dog walk.","pet-amenities","https://www.rentatexhibit.com/knowledge/pet-amenities"
"Pets","What are the pet fees and breed rules?","One-time non-refundable pet fee: $650 for one dog or $750 for two, $325 for cats. No pet deposit, no monthly pet rent, no weight limits. Breed restrictions apply — see a leasing consultant for details.","what-are-pet-fees","https://www.rentatexhibit.com/knowledge/what-are-pet-fees"
"Neighborhood & Getting Around","What neighborhood is Exhibit On Superior in?","Exhibit On Superior is in River North in Chicago.","what-neighborhood","https://www.rentatexhibit.com/knowledge/what-neighborhood"
"Neighborhood & Getting Around","How close is the CTA?","The Chicago Brown/Purple Line station (Chicago & Franklin) is about two blocks away; the Chicago Red Line station (Chicago & State) is roughly 0.3 miles.","cta-proximity","https://www.rentatexhibit.com/knowledge/cta-proximity"
"Neighborhood & Getting Around","Is Exhibit close to a grocery store?","Yes. Whole Foods (3 W Chicago Ave), Jewel-Osco (550 N State St), and Trader Joe’s (44 E Ontario St) are all within about half a mile.","neighborhood-groceries","https://www.rentatexhibit.com/knowledge/neighborhood-groceries"
"Neighborhood & Getting Around","Is Exhibit walkable to the Loop?","Yes — the Loop is roughly a mile south, about a 20-minute walk or one Brown Line stop.","walk-to-the-loop","https://www.rentatexhibit.com/knowledge/walk-to-the-loop"
"Neighborhood & Getting Around","What is nearby?","Cafes, restaurants, shops, parks, the Chicago River, West Loop, Old Town, and Fulton Market.","whats-near-superior-and-wells","https://www.rentatexhibit.com/knowledge/whats-near-superior-and-wells"
"Touring & Applying","How do I schedule a tour?","Choose the residence you’re interested in on the Available Units page and use its Schedule a Tour button, email exhibit@highlandptrs.com, or call 312-450-0635.","schedule-a-tour","https://www.rentatexhibit.com/knowledge/schedule-a-tour"
"Touring & Applying","Can I tour virtually?","Yes. The Virtual Tour page includes video and Matterport tour embeds for apartment and amenity previews.","virtual-tours","https://www.rentatexhibit.com/knowledge/virtual-tours"
"Touring & Applying","How do I apply?","Open any available residence on the Available Units page and use its Apply Now button — each unit links directly to its own secure online application.","how-do-i-apply","https://www.rentatexhibit.com/knowledge/how-do-i-apply"
"Touring & Applying","What credit score is required and are guarantors accepted?","A minimum credit score of 700 is required, or 600+ with a qualified co-signer. Qualified co-signers are accepted.","credit-score-required","https://www.rentatexhibit.com/knowledge/credit-score-required"
"Touring & Applying","What lease terms are available?","12+ month lease terms are available; short-term leases are offered based on availability. Approval typically takes 1–3 business days.","lease-terms","https://www.rentatexhibit.com/knowledge/lease-terms"
"Residents","Who should residents contact?","Residents can contact Exhibit On Superior at exhibit@highlandptrs.com or 312-450-0635.","who-manages-exhibit","https://www.rentatexhibit.com/knowledge/who-manages-exhibit"
"Residents","Where should residents log in?","Current residents use the resident portal linked from the Residents page for payments and maintenance requests.","resident-portal","https://www.rentatexhibit.com/knowledge/resident-portal"
